"","Q6.2","Q6.3","Q6.4","Q6.5","Q6.6","Q6.7","Q6.10","Q2.1","Q2.5","AgeNum","Q6.8_10_aggregated","Q6.9_agg"
"46",1986,"No","No","No","A race/ethnicity not listed here","Yes","No","Junior Faculty","0",37,"Straight","Man"
"47",1991,"N/A","No","Yes","N/A","No","No","Post Doc","0",32,"N/A","Woman"
"48",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","10",44,"Straight","Man"
"49",1992,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","2",31,"Straight","Man"
"50",1987,"Yes to some extent","Yes","No","White or Caucasian","No","No","Post Doc","4",36,"Straight","Woman"
"51",1974,"Yes to some extent","No","Yes","Hispanic or Latinx","Yes","No","Senior Faculty","2",49,"Straight","Woman"
"52",1990,"No","No","No","White or Caucasian","No","No","Post Doc","3",33,"Straight","Man"
"53",1991,"Yes to some extent","Yes","No","Do not know","Yes","No","Student","1",32,"Bisexual","Woman"
"54",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","2",41,"Straight","Man"
"55",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","0",43,"Straight","Woman"
"56",1962,"No","No","No","White or Caucasian","No","No","Senior Faculty","3",61,"Bisexual","Man"
"57",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","1",44,"Straight","Woman"
"58",1990,"No","No","No","White or Caucasian","Yes","No","Post Doc","5",33,"Straight","Man"
"59",1988,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","6",35,"Other","Man"
"60",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","1",35,"Straight","Man"
"61",1970,"No","No","No","White or Caucasian","No","N/A","Senior Faculty","5",53,"N/A","N/A"
"62",1995,"No","No","No","White or Caucasian","No","No","Student","1",28,"Bisexual","Woman"
"63",1986,"Yes a lot","Yes","No","White or Caucasian","No","No","Senior Faculty","10",37,"Straight","Woman"
"64",1983,"No","No","No","White or Caucasian","No","No","Junior Faculty","10",40,"Straight","Woman"
"65",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","3",35,"Straight","Woman"
"66",1982,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","1",41,"Straight","Woman"
"67",1996,"No","No","No","White or Caucasian","No","No","Student","0",27,"Straight","Man"
"68",1983,"No","No","No","White or Caucasian","No","No","Senior Faculty","8",40,"Straight","Man"
"69",1996,"No","No","No","White or Caucasian","Yes","No","Researcher","1",27,"Straight","Man"
"70",NA,"No","No","No","White or Caucasian","Yes","No","Post Doc","4",NA,"N/A","Woman"
"71",1977,"N/A","Yes","Yes","N/A","N/A","N/A","Senior Faculty","5",46,"N/A","N/A"
"72",1987,"No","No","No","White or Caucasian","Yes","No","Post Doc","0",36,"Straight","Man"
"73",1995,"Yes to some extent","No","No","White or Caucasian","No","No","Student","0",28,"Straight","Man"
"74",1986,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","0",37,"Straight","Woman"
"75",1973,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","9",50,"Straight","Woman"
"76",1993,"No","No","No","White or Caucasian","No","No","Junior Faculty","0",30,"Straight","Man"
"77",NA,"No","No","No","White or Caucasian","No","No","Senior Faculty","14",NA,"N/A","Man"
"78",1991,"No","No","No","White or Caucasian","Yes","No","Researcher","2",32,"Straight","Man"
"79",1988,"No","No","No","White or Caucasian","Yes","No","Post Doc","1",35,"Straight","Woman"
"80",1967,"No","No","No","White or Caucasian","No","No","Senior Faculty","8",56,"Straight","Man"
"81",1986,"No","No","No","White or Caucasian","No","No","Senior Faculty","4",37,"Gay","Man"
"82",1957,"No","No","No","White or Caucasian","No","No","Senior Faculty","14",66,"Straight","Man"
"83",NA,"No","No","No","White or Caucasian","No","No","Senior Faculty","7",NA,"Straight","N/A"
"84",1987,"Yes to some extent","No","Yes","A race/ethnicity not listed here","No","No","Junior Faculty","4",36,"Straight","Woman"
"85",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","4",36,"Straight","Man"
"86",1978,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","9",45,"Straight","Man"
"87",1993,"No","No","No","White or Caucasian","No","No","Student","0",30,"Straight","Man"
"88",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","0",43,"Straight","Woman"
"89",1983,"No","No","No","White or Caucasian","No","No","Post Doc","2",40,"Straight","Other"
"90",1983,"No","No","Yes","Hispanic or Latinx","No","No","Post Doc","1",40,"Straight","Woman"
"91",1969,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","2",54,"Straight","Woman"
"92",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","6",41,"Straight","Man"
"93",1990,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","0",33,"N/A","Man"
"94",1972,"No","No","No","White or Caucasian","No","No","Senior Faculty","10",51,"Straight","Woman"
"95",1997,"No","No","No","White or Caucasian","No","No","Student","0",26,"Straight","Woman"
"96",1990,"Do not know","No","No","White or Caucasian","Yes","No","Researcher","0",33,"Straight","Man"
"97",1994,"No","No","No","White or Caucasian","No","No","Junior Faculty","3",29,"Straight","Man"
"98",1995,"No","No","No","White or Caucasian","No","No","Student","0",28,"Bisexual","Woman"
"99",1982,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","4",41,"Straight","Woman"
"100",1990,"No","N/A","Yes","Asian or Pacific Islander","No","No","Junior Faculty","2",33,"Straight","Woman"
"101",1977,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","10",46,"Straight","Woman"
"102",1970,"No","No","No","White or Caucasian","No","No","Senior Faculty","6",53,"Straight","Man"
"103",1996,"Do not know","No","Yes","Asian or Pacific Islander","No","No","Student","1",27,"Straight","Man"
"104",1965,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","13",58,"Straight","Man"
"105",1990,"No","No","No","White or Caucasian","No","No","Post Doc","0",33,"Straight","Man"
"106",1984,"No","No","No","White or Caucasian","No","No","Senior Faculty","1",39,"Straight","Man"
"107",1987,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","3",36,"Straight","Man"
"108",1992,"No","No","No","White or Caucasian","Yes","No","Post Doc","3",31,"Straight","Man"
"109",1993,"No","No","No","White or Caucasian","No","No","Student","0",30,"Bisexual","Woman"
"110",1994,"No","No","No","White or Caucasian","Yes","No","Student","1",29,"Straight","Man"
"111",NA,"Yes to some extent","No","No","White or Caucasian","No","Yes","Post Doc","2",NA,"Other","Other"
"112",1994,"No","No","No","White or Caucasian","Yes","No","Student","1",29,"Straight","Man"
"113",1999,"No","No","No","White or Caucasian","Yes","No","Student","2",24,"Straight","Woman"
"114",1975,"No","No","No","White or Caucasian","No","No","Senior Faculty","10",48,"Straight","Woman"
"115",1973,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","4",50,"N/A","Man"
"116",1987,"No","No","No","White or Caucasian","No","No","Post Doc","0",36,"Straight","Woman"
"117",1983,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","4",40,"Straight","Woman"
"118",1987,"Yes to some extent","Do not know","Yes","Asian or Pacific Islander","No","No","Junior Faculty","6",36,"Bisexual","Woman"
"119",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","4",38,"Straight","Man"
"120",1976,"No","No","No","White or Caucasian","Do not know","No","Senior Faculty","1",47,"N/A","Man"
"121",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","3",35,"Straight","Woman"
"122",1993,"No","No","No","N/A","Yes","No","Post Doc","2",30,"N/A","Man"
"123",1982,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","1",41,"Straight","Man"
"124",1979,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","0",44,"Straight","Woman"
"125",1982,"No","No","No","White or Caucasian","No","No","Junior Faculty","2",41,"Straight","Man"
"126",NA,"No","No",NA,"N/A","N/A","Yes","Post Doc","0",NA,"N/A","Man"
"127",1978,"No","No","No","White or Caucasian","No","No","Senior Faculty","11",45,"Straight","Man"
"128",1989,"No","No","No","A race/ethnicity not listed here","Yes","No","Researcher","2",34,"Straight","Man"
"129",1990,"Yes to some extent","Yes","No","White or Caucasian","No","No","Post Doc","2",33,"Straight","Man"
"130",1989,"No","No","No","White or Caucasian","Yes","No","Post Doc","3",34,"Straight","Man"
"131",NA,"No","No","No","Do not know","No","Do not know","Senior Faculty","2",NA,"Other","Other"
"132",NA,"No","No",NA,"N/A","No","No","N/A","4",NA,"N/A","N/A"
"133",1979,"No","No",NA,"N/A","No","N/A","Junior Faculty","3",44,"N/A","N/A"
"134",1994,"Yes to some extent","Yes",NA,"White or Caucasian","Yes","Do not know","Post Doc","0",29,"Other","Other"
"135",1991,"No","No","No","White or Caucasian","No","No","Junior Faculty","0",32,"Straight","Woman"
"136",1996,"No","No","No","White or Caucasian","No","No","Student","0",27,"Straight","Man"
"137",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","N/A",NA,"N/A","N/A"
"138",2004,"Do not know","Do not know",NA,"N/A","N/A","N/A","Senior Faculty","1",19,"N/A","N/A"
"139",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","3",NA,"N/A","N/A"
"140",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","0",NA,"N/A","N/A"
"141",1989,"Yes to some extent","No","No","White or Caucasian","Yes","No","Researcher","5",34,"N/A","Man"
"142",1989,"No","No","No","White or Caucasian","No","No","Junior Faculty","2",34,"Straight","Woman"
"143",1969,"No","No","No","White or Caucasian","Yes","N/A","Senior Faculty","13",54,"N/A","Man"
"144",1986,"No","No","No","White or Caucasian","Do not know","No","Researcher","0",37,"Straight","Man"
"145",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","0",35,"Straight","Woman"
"146",1986,"Yes to some extent","Yes","No","White or Caucasian","No","No","Junior Faculty","3",37,"Bisexual","Woman"
"147",1981,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","12",42,"Straight","Woman"
"148",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","3",36,"Straight","Man"
"149",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","5",40,"Gay","Man"
"150",1984,"No","No","No","White or Caucasian","No","No","Junior Faculty","6",39,"Straight","Man"
"151",1977,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","10",46,"Straight","Man"
"152",1984,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","1",39,"Straight","Man"
"153",NA,"No","No","No","Hispanic or Latinx","No","No","Researcher","2",NA,"Bisexual","Woman"
"154",1982,"N/A","No","No","White or Caucasian","No","No","Post Doc","1",41,"N/A","Man"
"155",1990,"No","No","Yes","Multiracial or Biracial","Yes","No","Researcher","6",33,"Straight","Man"
"156",1988,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","3",35,"Straight","Woman"
"157",1979,"Yes to some extent","No","No","White or Caucasian","Yes","No","Senior Faculty","8",44,"Straight","Man"
"158",1992,"No","No","No","White or Caucasian","Yes","No","Post Doc","1",31,"Straight","Man"
"159",1970,"No","No","Do not know","White or Caucasian","No","No","Senior Faculty","10",53,"N/A","Woman"
"160",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","5",40,"Straight","Man"
"161",1994,"No","No","No","White or Caucasian","No","No","Post Doc","0",29,"Straight","Woman"
"162",NA,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","4",NA,"Straight","Woman"
"163",1988,"No","No","No","White or Caucasian","Do not know","No","Researcher","2",35,"Straight","Man"
"164",1983,"No","No","No","Hispanic or Latinx","Yes","No","Post Doc","2",40,"Straight","Woman"
"165",1992,"No","No","No","White or Caucasian","No","No","Researcher","0",31,"Straight","Man"
"166",1968,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","11",55,"Straight","Man"
"167",1987,"No","No","No","White or Caucasian","Yes","No","Post Doc","5",36,"Straight","Man"
"168",1996,"No","No","No","White or Caucasian","No","No","Student","0",27,"Straight","Woman"
"169",1988,"No","No","No","White or Caucasian","No","No","Post Doc","3",35,"Straight","Man"
"170",1995,"No","No","No","White or Caucasian","Yes","No","Student","0",28,"Straight","Woman"
"171",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","2",38,"Straight","Man"
"172",1991,"No","No","No","White or Caucasian","No","No","Student","0",32,"Straight","Woman"
"173",1981,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","6",42,"Straight","Man"
"174",1985,"No","No","No","White or Caucasian","No","No","Post Doc","2",38,"Straight","Man"
"175",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"176",1989,"No","No","No","White or Caucasian","No","No","Junior Faculty","3",34,"N/A","Woman"
"177",1989,"No","No","No","White or Caucasian","No","No","Post Doc","1",34,"Straight","Woman"
"178",1992,"No","No","No","White or Caucasian","No","No","Student","2",31,"Straight","Man"
"179",1992,"Yes to some extent","N/A","No","White or Caucasian","No","No","Junior Faculty","8",31,"Straight","Man"
"180",1986,"No","No","No","Asian or Pacific Islander","No","No","Post Doc","3",37,"Straight","Man"
"181",1993,"Yes to some extent","No","No","White or Caucasian","No","No","Student","1",30,"Bisexual","Woman"
"182",NA,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","1",NA,"Straight","Man"
"183",1994,"No","No","No","White or Caucasian","Yes","No","Researcher","1",29,"Straight","Woman"
"184",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","0",40,"Bisexual","Woman"
"185",1994,"No","No","No","White or Caucasian","No","No","Student","0",29,"Bisexual","Woman"
"186",1989,"No","No","No","White or Caucasian","Yes","No","Student","0",34,"Straight","Woman"
"187",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","N/A",NA,"N/A","N/A"
"188",1996,"No","No","No","White or Caucasian","Do not know","No","N/A","0",27,"Straight","Man"
"189",1994,"No","No","No","White or Caucasian","No","No","Student","2",29,"Straight","Woman"
"190",1962,"No","No","No","White or Caucasian","No","No","Senior Faculty","4",61,"Straight","Man"
"191",NA,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","11",NA,"Straight","Man"
"192",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","12",NA,"N/A","N/A"
"193",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","2",NA,"N/A","N/A"
"194",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","N/A",NA,"N/A","N/A"
"195",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","3",NA,"N/A","N/A"
"196",1988,"No","No","No","White or Caucasian","Yes","No","Post Doc","5",35,"N/A","Woman"
"197",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","N/A",NA,"N/A","N/A"
"198",1984,"No","No","No","White or Caucasian","No","No","Post Doc","1",39,"Straight","Woman"
"199",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","3",NA,"N/A","N/A"
"200",1985,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","7",38,"Straight","Man"
"201",1985,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","0",38,"Straight","Woman"
"202",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","N/A",NA,"N/A","N/A"
"203",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","N/A",NA,"N/A","N/A"
"204",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"205",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"206",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","N/A",NA,"N/A","N/A"
"207",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"208",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","N/A",NA,"N/A","N/A"
"209",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","N/A",NA,"N/A","N/A"
"210",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","1",NA,"N/A","N/A"
"211",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","1",NA,"N/A","N/A"
"212",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","0",NA,"N/A","N/A"
"213",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","N/A",NA,"N/A","N/A"
"214",1975,"No","No","No","White or Caucasian","No","No","Senior Faculty","3",48,"Straight","Man"
"215",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","N/A",NA,"N/A","N/A"
"216",1982,"No","No","No","White or Caucasian","No","No","Researcher","10",41,"Straight","Man"
"217",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","1",NA,"N/A","N/A"
"218",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","N/A",NA,"N/A","N/A"
"219",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","4",NA,"N/A","N/A"
"220",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"221",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","2",NA,"N/A","N/A"
"222",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","1",38,"Straight","Man"
"223",1982,"Yes to some extent","No","Yes","Asian or Pacific Islander","Yes","No","Post Doc","3",41,"Straight","Woman"
"224",1992,"No","No","No","White or Caucasian","No","No","Researcher","1",31,"N/A","Man"
"225",1984,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","1",39,"Straight","Man"
"226",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","0",NA,"N/A","N/A"
"227",1993,"No","No","No","White or Caucasian","No","No","Post Doc","2",30,"Straight","Woman"
"228",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","3",35,"Straight","Man"
"229",1995,"No","No","No","White or Caucasian","No","No","Student","0",28,"Straight","Man"
"230",1979,"No","No",NA,"A race/ethnicity not listed here","No","No","Senior Faculty","5",44,"Other","Man"
"231",1995,"No","No","No","Hispanic or Latinx","Yes","No","Student","1",28,"Straight","Woman"
"232",1993,"No","No","No","White or Caucasian","No","No","Post Doc","0",30,"Straight","Man"
"233",1982,"No","No","Yes","Multiracial or Biracial","No","No","Post Doc","1",41,"Straight","Woman"
"234",1976,"No","No","No","White or Caucasian","No","No","Senior Faculty","1",47,"Straight","Man"
"235",1984,"No","No","No","White or Caucasian","No","No","Post Doc","6",39,"Straight","Man"
"236",1980,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","10",43,"Straight","Man"
"237",1996,"Yes to some extent","No","Yes","Multiracial or Biracial","No","No","Student","0",27,"Queer","Woman"
"238",1981,"No","No","No","White or Caucasian","No","No","Senior Faculty","6",42,"Straight","Man"
"239",1966,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","6",57,"Straight","Woman"
"240",1983,"No","No","No","White or Caucasian","No","N/A","Junior Faculty","8",40,"N/A","N/A"
"241",1986,"No","No","No","White or Caucasian","No","No","Post Doc","10",37,"Straight","Man"
"242",1989,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","4",34,"Straight","Man"
"243",1973,"No","No","No","White or Caucasian","No","No","Researcher","4",50,"N/A","Man"
"244",1985,"No","No","No","White or Caucasian","No","No","Senior Faculty","7",38,"Straight","Man"
"245",1974,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","6",49,"Straight","Man"
"246",1985,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","0",38,"Straight","Man"
"247",1980,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","0",43,"N/A","N/A"
"248",1966,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","4",57,"Straight","Woman"
"249",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","2",NA,"N/A","N/A"
"250",1984,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","0",39,"Straight","Man"
"251",1979,"No","No","Yes","Asian or Pacific Islander","No","No","Senior Faculty","9",44,"Straight","Man"
"252",1975,"Yes to some extent","No","No","A race/ethnicity not listed here","No","No","Senior Faculty","2",48,"Straight","Man"
"253",1992,"Yes to some extent","No","No","White or Caucasian","No","No","Student","0",31,"N/A","Man"
"254",1973,"No","No","No","White or Caucasian","No","No","Senior Faculty","6",50,"Straight","Man"
"255",1985,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","1",38,"Straight","Man"
"256",1986,"No","No","No","Hispanic or Latinx","No","No","Researcher","8",37,"Gay","Man"
"257",1993,"No","No","No","White or Caucasian","No","No","Post Doc","1",30,"Straight","Man"
"258",1995,"No","No","No","White or Caucasian","Yes","No","Student","0",28,"Straight","Woman"
"259",1971,"No","No","No","White or Caucasian","No","No","Senior Faculty","5",52,"Straight","Man"
"260",1993,"No","No","No","White or Caucasian","No","No","Junior Faculty","4",30,"Bisexual","Man"
"261",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","5",44,"Straight","Woman"
"262",1995,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","0",28,"Straight","Man"
"263",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","N/A",NA,"N/A","N/A"
"264",1986,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","2",37,"Straight","Man"
"265",1975,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","12",48,"Straight","Woman"
"266",1994,"No","No","No","White or Caucasian","No","No","Student","1",29,"Straight","Man"
"267",1996,"No","No","No","White or Caucasian","No","No","Researcher","0",27,"Straight","Man"
"268",1997,"No","No","No","White or Caucasian","No","No","Junior Faculty","0",26,"Straight","Woman"
"269",1983,"No","No","No","White or Caucasian","No","No","Senior Faculty","4",40,"Straight","Man"
"270",1990,"No","No","No","White or Caucasian","No","No","Junior Faculty","1",33,"Straight","Man"
"271",1986,"No","No","No","N/A","Yes","No","Senior Faculty","4",37,"N/A","Woman"
"272",1976,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","5",47,"N/A","N/A"
"273",1992,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","0",31,"Straight","Woman"
"274",1991,"No","No","No","White or Caucasian","No","No","Post Doc","1",32,"Straight","Woman"
"275",1989,"No","No","No","White or Caucasian","No","No","Senior Faculty","5",34,"Straight","Man"
"276",1991,"No","No","No","A race/ethnicity not listed here","No","No","Post Doc","3",32,"N/A","Man"
"277",1974,"No","No","No","White or Caucasian","No","No","Senior Faculty","4",49,"Straight","Woman"
"278",1992,"No","No","No","White or Caucasian","No","No","Post Doc","1",31,"N/A","N/A"
"279",1988,"Yes to some extent","No","No","White or Caucasian","Yes","No","Post Doc","1",35,"Straight","Man"
"280",1990,"No","No","No","White or Caucasian","Yes","No","Post Doc","2",33,"Straight","Man"
"281",1977,"No","No","No","White or Caucasian","No","No","Senior Faculty","4",46,"Straight","Man"
"282",2005,"N/A","N/A","No","White or Caucasian","No","No","Senior Faculty","1",18,"Straight","Woman"
"283",1990,"Yes to some extent","No","No","Hispanic or Latinx","Yes","No","Post Doc","1",33,"Straight","Man"
"284",1994,"No","No","Yes","Multiracial or Biracial","Yes","No","Student","0",29,"Straight","Man"
"285",1986,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","4",37,"Straight","Man"
"286",1994,"No","No","Do not know","Hispanic or Latinx","N/A","No","Student","0",29,"Straight","Woman"
